code,name,group
1240,茂生農經,農業科技業
1259,安心,觀光餐旅
1264,德麥,食品工業
1268,漢來美食,觀光餐旅
1294,漢田生技,食品工業
1295,生合,食品工業
1336,台翰,電子零組件業
1565,精華,生技醫療業
1569,濱川,電腦及週邊設備業
1570,力肯,電機機械
1580,新麥,電機機械
1584,精剛,其他業
1586,和勤,電機機械
1591,駿吉-KY,電機機械
1593,祺驊,運動休閒
1595,川寶,電子零組件業
1599,宏佳騰,電機機械
1742,台蠟,化學工業
1777,生泰,生技醫療業
1781,合世,生技醫療業
1784,訊聯,生技醫療業
1785,光洋科,其他電子業
1788,杏昌,生技醫療業
1796,金穎生技,食品工業
1799,易威,生技醫療業
1813,寶利徠,生技醫療業
1815,富喬,電子零組件業
2035,唐榮,鋼鐵工業
2061,風青,電器電纜
2063,世鎧,鋼鐵工業
2064,晉椿,鋼鐵工業
2065,世豐,鋼鐵工業
2066,世德,電機機械
2067,嘉鋼,電機機械
2070,精湛,電機機械
2073,雄順,鋼鐵工業
2221,大甲,其他業
2230,泰茂,電機機械
2235,謚源,電機機械
2596,綠意,建材營造業
2640,大車隊,數位雲端
2641,正德,航運業
2643,捷迅,航運業
2718,全心投控,建材營造業
2719,燦星旅,觀光餐旅
2724,藝舍-KY,其他業
2726,雅茗-KY,觀光餐旅
2729,瓦城,觀光餐旅
2732,六角,觀光餐旅
2734,易飛網,觀光餐旅
2736,富野,觀光餐旅
2740,天蔥,觀光餐旅
2743,山富,觀光餐旅
2745,五福,觀光餐旅
2751,王座,觀光餐旅
2752,豆府,觀光餐旅
2754,亞洲藏壽司,觀光餐旅
2755,揚秦,觀光餐旅
2756,聯發國際,觀光餐旅
2916,滿心,居家生活
2924,宏太-KY,居家生活
2926,誠品生活,文化創意業
2937,集雅社,居家生活
2941,米斯特,居家生活
2947,振宇五金,居家生活
2948,寶陞,居家生活
2949,欣新網,數位雲端
3064,泰偉,文化創意業
3066,李洲,光電業
3067,全域,其他電子業
3071,協禧,電腦及週邊設備業
3073,天方能源,綠能環保
3078,僑威,電子零組件業
3081,聯亞,通信網路業
3083,網龍,文化創意業
3085,新零售,數位雲端
3086,華義,文化創意業
3088,艾訊,電腦及週邊設備業
3093,港建*,其他電子業
3095,及成,通信網路業
3105,穩懋,半導體業
3114,好德,電子零組件業
3115,富榮綱,電子零組件業
3118,進階,生技醫療業
3122,笙泉,半導體業
3128,昇銳,光電業
3131,弘塑,其他電子業
3141,晶宏,半導體業
3147,大綜,資訊服務業
3152,璟德,通信網路業
3158,嘉實,資訊服務業
3162,精確,電機機械
3163,波若威,通信網路業
3169,亞信,半導體業
3171,炎洲流通,居家生活
3176,基亞,生技醫療業
3178,公準,半導體業
